numNodes,version,ms,displacement
1,v0,17.79964,14.2
1,v1,2.797507,13.9
2,v0,17.672807,66.1
2,v1,1.757227,66.7
3,v0,19.624186,133.65
3,v1,2.1466220000000003,136
4,v0,17.45871,276.2
4,v1,2.683675,280.8
5,v0,17.168373,386.6
5,v1,3.466374,395.4
6,v0,18.162643,550.45
6,v1,1.8229929999999999,564.3
7,v0,16.819331000000002,771.6
7,v1,1.2926119999999999,790.8
8,v0,16.808846000000003,957.9
8,v1,0.831252,984.1
9,v0,16.826128999999998,1243.35
9,v1,1.054558,1277.1
10,v0,17.452016,1638
10,v1,1.257515,1680.3
20,v0,20.612406,6338.7
20,v1,1.663286,6523.5
30,v0,27.149871,14411
30,v1,3.230379,14838.4
40,v0,44.370057,24586.65
40,v1,4.486113,25356.4
50,v0,43.529904,39691.65
50,v1,2.754077,40905.1
60,v0,61.095786,58146.45
60,v1,5.4471359999999995,59902.3
70,v0,60.291012,77988.9
70,v1,4.766285,80385.7
80,v0,82.084838,96781.6
80,v1,6.442546,99921.3
90,v0,101.93429800000001,127414.05
90,v1,9.72104,131396.2
100,v0,292.209563,158258.6
100,v1,10.825666000000002,163183.1
110,v0,299.59754300000003,190564.7
110,v1,12.532856,196531.6
120,v0,366.90842799999996,222939.75
120,v1,13.594798,230049.5
130,v0,386.56695799999994,265347.35
130,v1,11.899109,273700.8
140,v0,437.431599,308601.2
140,v1,12.984881000000001,318296.6
150,v0,484.945945,355409.3
150,v1,13.097842,366545.8
160,v0,501.99683899999997,405406.35
160,v1,13.464698,418088.3
170,v0,560.370707,454934
170,v1,14.13916,469255.7
180,v0,572.4999320000001,504306.9
180,v1,12.942163,520373.8
190,v0,655.116406,566748.7
190,v1,13.616154,584657.3
200,v0,956.076952,627868.65
200,v1,20.049903999999998,647718