numNodes,version,ms
1,v0,16.533381000000002
1,v1,2.242098
2,v0,15.854637
2,v1,1.9804555
3,v0,16.5563175
3,v1,1.921424
4,v0,16.6924685
4,v1,2.1390314999999998
5,v0,14.935388
5,v1,1.3570615
6,v0,16.374332
6,v1,0.971855
7,v0,15.601659
7,v1,1.069525
8,v0,16.165251
8,v1,0.9526245
9,v0,16.692156
9,v1,1.1871625
10,v0,17.1481675
10,v1,1.22308
20,v0,24.3654295
20,v1,1.6953079999999998
30,v0,27.845148
30,v1,4.510421
40,v0,35.113162
40,v1,3.08339
50,v0,44.8895355
50,v1,3.317776
60,v0,51.571003499999996
60,v1,7.497193
70,v0,68.34587400000001
70,v1,4.154803
80,v0,85.928814
80,v1,5.279862
90,v0,97.78007199999999
90,v1,6.143297
100,v0,297.284846
100,v1,7.009141
110,v0,334.7372335
110,v1,7.2499115000000005
120,v0,368.29997
120,v1,11.939886499999998
130,v0,413.3298905
130,v1,9.7724285
140,v0,451.72979
140,v1,13.6055095
150,v0,501.53720899999996
150,v1,11.0233125
160,v0,527.9267845
160,v1,10.876853500000001
170,v0,617.1940215
170,v1,15.051246
180,v0,606.83729
180,v1,19.2128515
190,v0,668.617619
190,v1,14.483795500000001
200,v0,946.977991
200,v1,19.9576025
210,v0,1042.609304
210,v1,16.3853025
220,v0,1092.3161115
220,v1,18.900865500000002
230,v0,1225.9642695
230,v1,20.749914
240,v0,1299.2310915
240,v1,25.7697015
250,v0,1373.3225055
250,v1,23.396047000000003
260,v0,1460.1537555000002
260,v1,20.624982
270,v0,1533.1234855
270,v1,27.448794
280,v0,1590.4141575
280,v1,27.1192935
290,v0,1642.164359
290,v1,30.1258285
300,v0,2085.6080305
300,v1,46.5073215